workout_id,workout_date,workout_type,distance,entry_date,entry_time
411,26/10/2016,Run,6,05/12/2017,23:00:00
412,29/10/2016,Run,4,05/12/2017,23:00:00
413,30/10/2016,Run,42,05/12/2017,23:00:00
414,05/11/2016,Run,17,05/12/2017,23:00:00
415,05/11/2016,Yoga,1,05/12/2017,23:00:00
416,06/11/2016,Run,11,05/12/2017,23:00:00
417,12/11/2016,Run,38,05/12/2017,23:00:00
418,15/11/2016,Run,5,05/12/2017,23:00:00
419,19/11/2016,Run,12,05/12/2017,23:00:00
420,20/11/2016,Run,10,05/12/2017,23:00:00
421,23/11/2016,Swim,1.5,05/12/2017,23:00:00
422,26/11/2016,Run,14,05/12/2017,23:00:00
423,26/11/2016,Swim,1.5,05/12/2017,23:00:00
424,27/11/2016,Run,22,05/12/2017,23:00:00
425,03/12/2016,Run,82,05/12/2017,23:00:00
426,09/12/2016,Run,6,05/12/2017,23:00:00
427,11/12/2016,Run,11,05/12/2017,23:00:00
428,16/12/2016,Swim,1.5,05/12/2017,23:00:00
429,17/12/2016,Run,11,05/12/2017,23:00:00
430,18/12/2016,Run,10,05/12/2017,23:00:00
431,19/12/2016,Run,7,05/12/2017,23:00:00
432,21/12/2016,Gym,1,05/12/2017,23:00:00
433,24/12/2016,Run,17,05/12/2017,23:00:00
434,25/12/2016,Run,10,05/12/2017,23:00:00
435,26/12/2016,Run,7,05/12/2017,23:00:00
436,02/01/2017,Run,15,05/12/2017,23:00:00
437,04/01/2017,Run,14,05/12/2017,23:00:00
438,12/01/2017,Run,15,05/12/2017,23:00:00
439,16/01/2017,Run,18,05/12/2017,23:00:00
440,18/01/2017,Run,14,05/12/2017,23:00:00
441,20/01/2017,Spin,1,05/12/2017,23:00:00
442,21/01/2017,Run,10,05/12/2017,23:00:00
443,22/01/2017,Run,14,05/12/2017,23:00:00
444,23/01/2017,Climb,1,05/12/2017,23:00:00
445,23/01/2017,Run,5,05/12/2017,23:00:00
446,24/01/2017,Yoga,1,05/12/2017,23:00:00
447,26/01/2017,Run,10,05/12/2017,23:00:00
448,27/01/2017,Gym,1,05/12/2017,23:00:00
449,28/01/2017,Run,10,05/12/2017,23:00:00
450,29/01/2017,Yoga,1,05/12/2017,23:00:00
451,30/01/2017,Yoga,1,05/12/2017,23:00:00
452,31/01/2017,Spin,1,05/12/2017,23:00:00
453,01/02/2017,Gym,1,05/12/2017,23:00:00
454,04/02/2017,Run,56,05/12/2017,23:00:00
